,"CR/LFINF+DNO/HBET:1,3","CR/LFINF+DNO/HBET:4,7","CR/LFINF+DNO/HBET:8,20","CR/LFM/HBET:1,3","CR/LFM/HBET:4,7","CR/LFM/HBET:8,20",MATO/LN,"MUR+ADO/HBET:1,3","MUR+CB99/HBET:1,3","MUR+CB99/HBET:4,7",MUR+CL99,MUR+STRUB,S,W,W+WWD
1.175171,0.521261,0.432902,0.370446,0.521261,0.432902,0.370446,0.730079,0.821435,0.671871,0.542662,0.76507,0.794342,0.095523,0.763608,0.66715
1.226393,0.548903,0.453174,0.387241,0.548903,0.453174,0.387241,0.753003,0.83803,0.696718,0.56442,0.785334,0.81347,0.10449,0.782338,0.69762
1.279849,0.576451,0.473643,0.404302,0.576451,0.473643,0.404302,0.77489,0.853612,0.720756,0.586029,0.804582,0.831488,0.114144,0.800203,0.726902
1.335634,0.603759,0.494253,0.421599,0.603759,0.494253,0.421599,0.795677,0.868179,0.74389,0.607423,0.822778,0.848375,0.124517,0.817175,0.754822
1.393851,0.630685,0.514946,0.439098,0.630685,0.514946,0.439098,0.815316,0.881734,0.766039,0.628538,0.839897,0.864123,0.135636,0.833234,0.781232
1.454605,0.657094,0.535663,0.456766,0.657094,0.535663,0.456766,0.83377,0.894291,0.787135,0.649312,0.855924,0.878735,0.147526,0.848371,0.806015
1.518007,0.682855,0.556345,0.474565,0.682855,0.556345,0.474565,0.85102,0.905872,0.807123,0.669684,0.870858,0.892225,0.160208,0.862579,0.829085
1.584173,0.707849,0.576932,0.492461,0.707849,0.576932,0.492461,0.867059,0.916502,0.825961,0.689599,0.884704,0.904617,0.173699,0.875864,0.850388
1.653223,0.731967,0.597364,0.510414,0.731967,0.597364,0.510414,0.881891,0.926217,0.843622,0.709004,0.897481,0.915942,0.188011,0.888235,0.869899
1.725282,0.755113,0.617585,0.528387,0.755113,0.617585,0.528387,0.895533,0.935054,0.860092,0.727853,0.909212,0.926239,0.203151,0.899709,0.887624
1.800483,0.777204,0.637538,0.546343,0.777204,0.637538,0.546343,0.908015,0.943057,0.875371,0.746101,0.919932,0.935555,0.21912,0.910308,0.903594
1.878961,0.798172,0.657169,0.564241,0.798172,0.657169,0.564241,0.919372,0.95027,0.889467,0.763712,0.929678,0.94394,0.235912,0.920059,0.917866
1.96086,0.817963,0.676426,0.582045,0.817963,0.676426,0.582045,0.929651,0.956741,0.902405,0.780651,0.938497,0.951448,0.253514,0.928994,0.930514
2.046329,0.836541,0.695261,0.599716,0.836541,0.695261,0.599716,0.938904,0.962522,0.914215,0.796892,0.946437,0.958138,0.271907,0.937148,0.941631
2.135523,0.853883,0.713628,0.617218,0.853883,0.713628,0.617218,0.947187,0.96766,0.924938,0.812413,0.953551,0.964066,0.291065,0.944559,0.951321
2.228604,0.869979,0.731486,0.634515,0.869979,0.731486,0.634515,0.954562,0.972207,0.934621,0.827197,0.959893,0.969294,0.310953,0.951268,0.959696
2.325743,0.884836,0.748797,0.651571,0.884836,0.748797,0.651571,0.961092,0.976213,0.943319,0.841233,0.965518,0.973881,0.331529,0.957316,0.966875
2.427116,0.898472,0.765527,0.668353,0.898472,0.765527,0.668353,0.966844,0.979725,0.951089,0.854515,0.970484,0.977883,0.352743,0.962746,0.972977
2.532908,0.910917,0.781649,0.68483,0.910917,0.781649,0.68483,0.971881,0.982789,0.957992,0.867043,0.974845,0.981359,0.374541,0.967601,0.978119
2.64331,0.92221,0.797136,0.700971,0.92221,0.797136,0.700971,0.976269,0.985451,0.964092,0.87882,0.978657,0.98436,0.396859,0.971925,0.982416
2.758525,0.932399,0.81197,0.716749,0.932399,0.81197,0.716749,0.980069,0.987753,0.969453,0.889854,0.981971,0.98694,0.419628,0.97576,0.985977
2.878762,0.94154,0.826136,0.732138,0.94154,0.826136,0.732138,0.983344,0.989734,0.974139,0.900158,0.984839,0.989145,0.442773,0.979147,0.988902
3.004239,0.949694,0.839622,0.747114,0.949694,0.839622,0.747114,0.986149,0.991431,0.978212,0.90975,0.987307,0.99102,0.466214,0.982126,0.991285
3.135186,0.956926,0.852422,0.761655,0.956926,0.852422,0.761655,0.988539,0.992877,0.981733,0.918647,0.989422,0.992606,0.489869,0.984736,0.993209
3.271841,0.963303,0.864534,0.775744,0.963303,0.864534,0.775744,0.990564,0.994105,0.984761,0.926874,0.991225,0.993941,0.513651,0.987013,0.99475
3.414451,0.968894,0.875961,0.789364,0.968894,0.875961,0.789364,0.992271,0.995142,0.987349,0.934455,0.992753,0.995058,0.53747,0.988992,0.995973
